#{"t_start": 1734089420.5272079, "env_id": "None"}
r,l,t
0.0,49,0.082691
0.0,49,0.082755
0.0,49,0.082766
0.0,49,0.082774
0.0,49,0.08278
0.0,49,0.082785
0.0,49,0.08279
0.0,49,0.133925
0.0,49,0.133978
0.0,49,0.133987
0.0,49,0.133993
0.0,49,0.133999
0.0,49,0.134004
0.0,49,0.134008
0.0,49,0.182311
0.0,49,0.182362
0.0,49,0.182371
0.0,49,0.182377
0.0,49,0.182382
0.0,49,0.182387
0.0,49,0.182392
0.0,49,0.230609
0.0,49,0.230665
0.0,49,0.230678
0.0,49,0.230685
0.0,49,0.230691
0.0,49,0.230698
0.0,49,0.230703
0.0,49,0.273905
0.0,49,0.273955
0.0,49,0.273963
0.0,49,0.273969
0.0,49,0.273974
0.0,49,0.273979
0.0,49,0.273983
0.0,49,0.317677
0.0,49,0.317734
0.0,49,0.317742
0.0,49,0.317748
0.0,49,0.317754
0.0,49,0.31776
0.0,49,0.317765
0.0,49,0.362421
0.0,49,0.362472
0.0,49,0.36248
0.0,49,0.362487
0.0,49,0.362492
0.0,49,0.362498
0.0,49,0.362503
0.0,49,0.433357
0.0,49,0.433411
0.0,49,0.43342
0.0,49,0.433426
0.0,49,0.433432
0.0,49,0.433437
0.0,49,0.433442
0.0,49,0.484327
0.0,49,0.484379
0.0,49,0.484388
0.0,49,0.484394
0.0,49,0.4844
0.0,49,0.484405
0.0,49,0.48441
0.0,49,0.54695
0.0,49,0.547003
0.0,49,0.547013
0.0,49,0.547019
0.0,49,0.547025
0.0,49,0.54703
0.0,49,0.547035
0.0,49,0.597207
0.0,49,0.597259
0.0,49,0.597268
0.0,49,0.597274
0.0,49,0.59728
0.0,49,0.597286
0.0,49,0.597291
0.0,49,0.646324
0.0,49,0.646381
0.0,49,0.646389
0.0,49,0.646395
0.0,49,0.646401
0.0,49,0.646406
0.0,49,0.646411
0.0,49,0.696384
0.0,49,0.696441
0.0,49,0.696449
0.0,49,0.696455
0.0,49,0.69646
0.0,49,0.696469
0.0,49,0.696474
0.0,49,0.74205
0.0,49,0.742101
0.0,49,0.74211
0.0,49,0.742116
0.0,49,0.742122
0.0,49,0.742126
0.0,49,0.742131
0.0,49,0.788498
0.0,49,0.788556
0.0,49,0.788565
0.0,49,0.788574
0.0,49,0.788579
0.0,49,0.788585
0.0,49,0.788589
0.0,49,0.835368
0.0,49,0.835419
0.0,49,0.835427
0.0,49,0.835433
0.0,49,0.835439
0.0,49,0.835445
0.0,49,0.83545
0.0,49,0.882911
0.0,49,0.882958
0.0,49,0.882967
0.0,49,0.882973
0.0,49,0.882978
0.0,49,0.882983
0.0,49,0.882988
0.0,49,1.058639
0.0,49,1.058688
0.0,49,1.058698
0.0,49,1.058705
0.0,49,1.05871
0.0,49,1.058716
0.0,49,1.058721
0.0,49,1.123174
0.0,49,1.123212
0.0,49,1.12322
0.0,49,1.123226
0.0,49,1.123232
0.0,49,1.123237
0.0,49,1.123242
0.0,49,1.180154
0.0,49,1.180201
0.0,49,1.180209
0.0,49,1.180215
0.0,49,1.18022
0.0,49,1.180225
0.0,49,1.18023
0.0,49,1.239113
0.0,49,1.2393
0.0,49,1.239386
0.0,49,1.239408
0.0,49,1.239416
0.0,49,1.239422
0.0,49,1.239467
0.0,49,1.301702
0.0,49,1.301753
0.0,49,1.301761
0.0,49,1.301768
0.0,49,1.301774
0.0,49,1.301779
0.0,49,1.301783
0.0,49,1.361724
0.0,49,1.361782
0.0,49,1.361791
0.0,49,1.361797
0.0,49,1.361803
0.0,49,1.361809
0.0,49,1.361814
0.0,49,1.42953
0.0,49,1.429588
0.0,49,1.429598
0.0,49,1.429605
0.0,49,1.429611
0.0,49,1.429616
0.0,49,1.429622
0.0,49,1.495289
0.0,49,1.495346
0.0,49,1.495354
0.0,49,1.495361
0.0,49,1.495368
0.0,49,1.495375
0.0,49,1.49538
0.0,49,1.552731
0.0,49,1.552786
0.0,49,1.552794
0.0,49,1.552801
0.0,49,1.552806
0.0,49,1.552812
0.0,49,1.552816
0.0,49,1.607023
0.0,49,1.607058
0.0,49,1.607066
0.0,49,1.607072
0.0,49,1.607077
0.0,49,1.607082
0.0,49,1.607087
0.0,49,1.664939
0.0,49,1.664992
0.0,49,1.665001
0.0,49,1.665007
0.0,49,1.665013
0.0,49,1.665018
0.0,49,1.665022
0.0,49,1.717894
0.0,49,1.717945
0.0,49,1.717953
0.0,49,1.717959
0.0,49,1.717965
0.0,49,1.717974
0.0,49,1.717978
0.0,49,1.768743
0.0,49,1.768797
0.0,49,1.768806
0.0,49,1.768813
0.0,49,1.768818
0.0,49,1.768823
0.0,49,1.768829
0.0,49,1.817517
0.0,49,1.81757
0.0,49,1.817579
0.0,49,1.817585
0.0,49,1.817591
0.0,49,1.817596
0.0,49,1.817601
0.0,49,1.865874
0.0,49,1.865935
0.0,49,1.865944
0.0,49,1.865951
0.0,49,1.865956
0.0,49,1.865961
0.0,49,1.865966
0.0,49,1.916368
0.0,49,1.91642
0.0,49,1.916428
0.0,49,1.916434
0.0,49,1.91644
0.0,49,1.916445
0.0,49,1.916449
0.0,49,1.96763
0.0,49,1.967681
0.0,49,1.96769
0.0,49,1.967696
0.0,49,1.967701
0.0,49,1.967706
0.0,49,1.967711
0.0,49,2.021094
0.0,49,2.021152
0.0,49,2.021174
0.0,49,2.021181
0.0,49,2.021186
0.0,49,2.021191
0.0,49,2.021196
0.0,49,2.070321
0.0,49,2.070379
0.0,49,2.07039
0.0,49,2.070396
0.0,49,2.070401
0.0,49,2.070406
0.0,49,2.07041
0.0,49,2.118108
0.0,49,2.118165
0.0,49,2.118174
0.0,49,2.11818
0.0,49,2.118185
0.0,49,2.11819
0.0,49,2.118196
0.0,49,2.166999
0.0,49,2.167052
0.0,49,2.167061
0.0,49,2.167068
0.0,49,2.167073
0.0,49,2.167079
0.0,49,2.167084
0.0,49,2.21597
0.0,49,2.21603
0.0,49,2.216039
0.0,49,2.216046
0.0,49,2.216052
0.0,49,2.216057
0.0,49,2.216063
0.0,49,2.263448
0.0,49,2.263505
0.0,49,2.263513
0.0,49,2.26352
0.0,49,2.263527
0.0,49,2.263533
0.0,49,2.263538
0.0,49,2.308325
0.0,49,2.308378
0.0,49,2.308387
0.0,49,2.308393
0.0,49,2.308398
0.0,49,2.308402
0.0,49,2.308407
0.0,49,2.353493
0.0,49,2.353546
0.0,49,2.353554
0.0,49,2.35356
0.0,49,2.353566
0.0,49,2.353571
0.0,49,2.353576
0.0,49,2.398712
0.0,49,2.398761
0.0,49,2.39877
0.0,49,2.398776
0.0,49,2.398781
0.0,49,2.398786
0.0,49,2.398791
0.0,49,2.444199
0.0,49,2.444255
0.0,49,2.444264
0.0,49,2.444271
0.0,49,2.444276
0.0,49,2.444281
0.0,49,2.444286
0.0,49,2.489447
0.0,49,2.489503
0.0,49,2.489511
0.0,49,2.489517
0.0,49,2.489522
0.0,49,2.489527
0.0,49,2.489532
0.0,49,2.535217
0.0,49,2.535267
0.0,49,2.535275
0.0,49,2.535282
0.0,49,2.535288
0.0,49,2.535293
0.0,49,2.535298
0.0,49,2.582928
0.0,49,2.58298
0.0,49,2.582988
0.0,49,2.582994
0.0,49,2.582999
0.0,49,2.583004
0.0,49,2.583009
0.0,49,2.630977
0.0,49,2.631024
0.0,49,2.631033
0.0,49,2.631039
0.0,49,2.631045
0.0,49,2.63105
0.0,49,2.631055
0.0,49,2.67956
0.0,49,2.679607
0.0,49,2.679617
0.0,49,2.679623
0.0,49,2.679629
0.0,49,2.679634
0.0,49,2.679639
0.0,49,2.726468
0.0,49,2.726518
0.0,49,2.726528
0.0,49,2.726534
0.0,49,2.72654
0.0,49,2.726546
0.0,49,2.726551
0.0,49,2.771706
0.0,49,2.77175
0.0,49,2.771758
0.0,49,2.771764
0.0,49,2.77177
0.0,49,2.771775
0.0,49,2.77178
0.0,49,2.824637
0.0,49,2.824686
0.0,49,2.824695
0.0,49,2.824702
0.0,49,2.824707
0.0,49,2.824712
0.0,49,2.824717
0.0,49,2.883033
0.0,49,2.88308
0.0,49,2.883089
0.0,49,2.883096
0.0,49,2.883103
0.0,49,2.883108
0.0,49,2.883115
0.0,49,2.943796
0.0,49,2.943869
0.0,49,2.943881
0.0,49,2.943887
0.0,49,2.943893
0.0,49,2.943899
0.0,49,2.943904
0.0,49,3.002758
0.0,49,3.00281
0.0,49,3.00282
0.0,49,3.002826
0.0,49,3.002832
0.0,49,3.002837
0.0,49,3.002842
0.0,49,3.052372
0.0,49,3.052424
0.0,49,3.052432
0.0,49,3.052438
0.0,49,3.052443
0.0,49,3.052448
0.0,49,3.052452
0.0,49,3.097598
0.0,49,3.097647
0.0,49,3.097656
0.0,49,3.097662
0.0,49,3.097667
0.0,49,3.097673
0.0,49,3.097678
0.0,49,3.14908
0.0,49,3.149132
0.0,49,3.149141
0.0,49,3.149147
0.0,49,3.149153
0.0,49,3.149157
0.0,49,3.149162
0.0,49,3.199935
0.0,49,3.19998
0.0,49,3.199989
0.0,49,3.199995
0.0,49,3.200001
0.0,49,3.200006
0.0,49,3.200011
0.0,49,3.249418
0.0,49,3.249468
0.0,49,3.249477
0.0,49,3.249484
0.0,49,3.249489
0.0,49,3.249494
0.0,49,3.249499
0.0,49,3.304581
0.0,49,3.304631
0.0,49,3.30464
0.0,49,3.304647
0.0,49,3.304652
0.0,49,3.304657
0.0,49,3.304662
0.0,49,3.354458
0.0,49,3.354505
0.0,49,3.354514
0.0,49,3.35452
0.0,49,3.354526
0.0,49,3.354531
0.0,49,3.354536
0.0,49,3.406701
0.0,49,3.40675
0.0,49,3.406758
0.0,49,3.406765
0.0,49,3.40677
0.0,49,3.406775
0.0,49,3.40678
0.0,49,3.461549
0.0,49,3.461598
0.0,49,3.461606
0.0,49,3.461612
0.0,49,3.461618
0.0,49,3.461622
0.0,49,3.461627
0.0,49,3.517888
0.0,49,3.517936
0.0,49,3.517944
0.0,49,3.517951
0.0,49,3.517956
0.0,49,3.517962
0.0,49,3.517967
0.0,49,3.570853
0.0,49,3.570905
0.0,49,3.570915
0.0,49,3.570921
0.0,49,3.570927
0.0,49,3.570932
0.0,49,3.570936
0.0,49,3.615423
0.0,49,3.615476
0.0,49,3.615485
0.0,49,3.615491
0.0,49,3.615497
0.0,49,3.615502
0.0,49,3.615507
0.0,49,3.662387
0.0,49,3.66244
0.0,49,3.662448
0.0,49,3.662455
0.0,49,3.66246
0.0,49,3.662465
0.0,49,3.66247
0.0,49,3.713829
0.0,49,3.713879
0.0,49,3.713888
0.0,49,3.713894
0.0,49,3.7139
0.0,49,3.713905
0.0,49,3.713923
0.0,49,3.767164
0.0,49,3.767199
0.0,49,3.767207
0.0,49,3.767213
0.0,49,3.767219
0.0,49,3.767224
0.0,49,3.767229
0.0,49,3.81945
0.0,49,3.819502
0.0,49,3.819511
0.0,49,3.819517
0.0,49,3.819522
0.0,49,3.819527
0.0,49,3.819532
0.0,49,3.870216
0.0,49,3.870268
0.0,49,3.870276
0.0,49,3.870283
0.0,49,3.870288
0.0,49,3.870293
0.0,49,3.870299
21.0,49,4.065998
21.0,49,4.066102
18.0,49,4.066119
20.0,49,4.066126
17.0,49,4.066132
22.0,49,4.066138
16.0,49,4.066143
21.0,49,4.349269
21.0,49,4.349323
15.0,49,4.349333
17.0,49,4.34934
23.0,49,4.349346
19.0,49,4.349351
17.0,49,4.349357
30.0,48,4.534652
20.0,49,4.536612
19.0,49,4.53666
21.0,49,4.53667
12.0,49,4.536676
22.0,49,4.536682
21.0,49,4.536687
23.0,49,4.771041
17.0,49,4.773061
25.0,49,4.773105
22.0,49,4.773114
24.0,49,4.773121
16.0,49,4.773127
26.0,49,4.773133
30.0,38,4.831936
30.0,44,4.840819
25.0,49,4.847729
27.0,49,4.847783
18.0,49,4.847793
16.0,49,4.8478
23.0,49,4.847806
22.0,49,5.070591
17.0,49,5.085153
25.0,49,5.096136
17.0,49,5.096188
28.0,49,5.096197
20.0,49,5.096204
25.0,49,5.09621
24.0,49,5.237873
22.0,49,5.336194
30.0,46,5.340476
21.0,49,5.347385
28.0,49,5.347439
17.0,49,5.347448
17.0,49,5.347454
24.0,49,5.485173
30.0,44,5.495821
25.0,49,5.495872
19.0,49,5.499564
16.0,49,5.505384
24.0,49,5.505433
21.0,49,5.505442
30.0,42,5.682011
30.0,49,5.753286
16.0,49,5.765664
21.0,49,5.770641
22.0,49,5.777912
29.0,49,5.777964
22.0,49,5.777973
23.0,49,5.864676
27.0,49,5.864788
19.0,49,5.864827
22.0,49,5.864837
23.0,49,5.864843
19.0,49,5.864869
28.0,49,5.864876
30.0,48,6.049158
29.0,49,6.141175
16.0,49,6.141233
24.0,49,6.141242
18.0,49,6.14125
25.0,49,6.141256
22.0,49,6.141261
23.0,49,6.323382
16.0,49,6.325467
21.0,49,6.32552
27.0,49,6.325531
26.0,49,6.325537
19.0,49,6.325543
27.0,49,6.325549
18.0,49,6.617094
22.0,49,6.619174
23.0,49,6.619223
27.0,49,6.619232
22.0,49,6.619239
23.0,49,6.619245
28.0,49,6.619251
25.0,49,6.773036
18.0,49,6.774796
19.0,49,6.774844
21.0,49,6.774854
22.0,49,6.77486
27.0,49,6.774866
22.0,49,6.774873
30.0,30,6.823274
28.0,49,6.847876
22.0,49,6.84793
24.0,49,6.84794
27.0,49,6.847946
22.0,49,6.847952
27.0,49,6.847957
20.0,49,7.046859
30.0,31,7.049717
30.0,46,7.170455
24.0,49,7.176071
27.0,49,7.176115
22.0,49,7.176124
24.0,49,7.17613
30.0,30,7.329803
19.0,49,7.329854
20.0,49,7.332109
24.0,49,7.364936
18.0,49,7.370895
22.0,49,7.370938
28.0,49,7.370947
30.0,30,7.532166
20.0,49,7.53222
21.0,49,7.53223
19.0,49,7.534565
27.0,49,7.671956
22.0,49,7.678372
26.0,49,7.678416
30.0,30,7.892922
20.0,49,7.892973
19.0,49,7.892982
25.0,49,7.892988
20.0,49,7.895024
22.0,49,7.928262
27.0,49,7.937335
30.0,30,8.009046
20.0,49,8.041534
19.0,49,8.041587
20.0,49,8.041597
25.0,49,8.041604
30.0,49,8.04161
17.0,49,8.041616
20.0,49,8.205596
30.0,44,8.330174
19.0,49,8.340278
20.0,49,8.340323
25.0,49,8.340332
30.0,49,8.340338
17.0,49,8.340344
19.0,49,8.499661
30.0,44,8.531476
29.0,49,8.531528
20.0,49,8.630612
25.0,49,8.630669
30.0,49,8.630678
17.0,49,8.630685
20.0,49,8.709711
30.0,44,8.880626
29.0,49,8.880675
23.0,49,8.880685
25.0,49,8.891204
30.0,49,8.891254
17.0,49,8.891264
25.0,49,9.05449
30.0,47,9.084827
30.0,44,9.090118
29.0,49,9.090156
23.0,49,9.090166
30.0,49,9.18037
17.0,49,9.180421
30.0,40,9.254116
30.0,44,9.26162
30.0,47,9.266328
17.0,49,9.269681
29.0,49,9.269728
23.0,49,9.269738
24.0,49,9.269744
30.0,40,9.457021
24.0,49,9.461691
30.0,44,9.471036
29.0,49,9.471088
30.0,47,9.47853
23.0,49,9.48326
21.0,49,9.483308
30.0,40,9.643914
24.0,49,9.644025
21.0,49,9.804509
29.0,49,9.813174
